 ,X,Y
1,0.170,0.110
2,0.178,0.112
3,0.190,0.123
4,0.199,0.127
5,0.220,0.146
6,0.249,0.159
7,0.268,0.171
8,0.300,0.188
9,0.319,0.188
10,0.350,0.193
11,0.369,0.195
12,0.399,0.197
13,0.419,0.200
14,0.449,0.203
15,0.470,0.201
16,0.500,0.202
17,0.519,0.202
18,0.571,0.196
19,0.550,0.204
20,0.601,0.207
21,0.620,0.202
22,0.649,0.205
23,0.670,0.198
24,0.701,0.201
25,0.721,0.195
26,0.751,0.197
27,0.772,0.188
28,0.802,0.189
29,0.821,0.187
30,0.851,0.188
31,0.872,0.179
32,0.899,0.175
33,0.921,0.174
34,1.001,0.159
